"date","energy_label","main_refinancing_rate"
2023-05-23,"B",3.75
2023-05-23,"≥A",3.75
2023-05-23,"C",3.75
2023-05-23,"≥A",3.75
2023-05-23,"E",3.75
2023-05-23,"B",3.75
2023-05-23,"G",3.75
2023-05-23,"B",3.75
2023-05-23,"≥A",3.75
2023-05-23,"C",3.75
2023-05-23,"B",3.75
2023-05-23,"≥A",3.75
2023-05-23,"E",3.75
2023-05-23,"G",3.75
2023-05-23,"C",3.75
2023-05-23,"B",3.75
2023-05-23,"C",3.75
2023-05-23,"D",3.75
2023-05-23,"C",3.75
2023-05-23,"D",3.75
2023-05-23,"C",3.75
2023-05-23,"E",3.75
2023-05-24,"≥A",3.75
2023-05-24,"C",3.75
2023-05-24,"C",3.75
2023-05-24,"≥A",3.75
2023-05-24,"C",3.75
2023-05-24,"C",3.75
2023-05-24,"≥A",3.75
2023-05-24,"≥A",3.75
2023-05-24,"≥A",3.75
2023-05-24,"C",3.75
2023-05-24,"C",3.75
2023-05-24,"B",3.75
2023-05-24,"≥A",3.75
2023-05-24,"≥A",3.75
2023-05-24,"B",3.75
2023-05-24,"≥A",3.75
2023-05-24,"≥A",3.75
2023-05-24,"D",3.75
2023-05-24,"B",3.75
2023-05-24,"C",3.75
2023-05-24,"≥A",3.75
2023-05-24,"C",3.75
2023-05-24,"C",3.75
2023-05-24,"E",3.75
2023-05-24,"B",3.75
2023-05-24,"G",3.75
2023-05-24,"D",3.75
2023-05-24,"≥A",3.75
2023-05-24,"E",3.75
2023-05-24,"≥A",3.75
2023-05-24,"B",3.75
2023-05-24,"≥A",3.75
2023-05-25,"≥A",3.75
2023-05-25,"≥A",3.75
2023-05-25,"C",3.75
2023-05-25,"C",3.75
2023-05-25,"B",3.75
2023-05-25,"≥A",3.75
2023-05-25,"≥A",3.75
2023-05-25,"D",3.75
2023-05-25,"C",3.75
2023-05-25,"≥A",3.75
2023-05-25,"C",3.75
2023-05-25,"B",3.75
2023-05-25,"C",3.75
2023-05-25,"C",3.75
2023-05-25,"B",3.75
2023-05-25,"≥A",3.75
2023-05-25,"C",3.75
2023-05-25,"B",3.75
2023-05-25,"≥A",3.75
2023-05-25,"≥A",3.75
2023-05-25,"D",3.75
2023-05-25,"C",3.75
2023-05-25,"C",3.75
2023-05-25,"≥A",3.75
