"ID";"HousingCharacteristics";"Regions";"Periods";"AverageConsumptionOfNaturalGas_1";"AverageSupplyOfElectricity_2";"AverageNetSupplyOfElectricity_3";"DistrictHeating_4"
"0";"T001100";"NL01  ";"2010JJ00";"    1850";"    3300";"";"     4.6"
"1";"T001100";"NL01  ";"2011JJ00";"    1450";"    3250";"";"     4.5"
"2";"T001100";"NL01  ";"2012JJ00";"    1500";"    3200";"";"     5.1"
"3";"T001100";"NL01  ";"2013JJ00";"    1600";"    3150";"";"     4.9"
"4";"T001100";"NL01  ";"2014JJ00";"    1200";"    3050";"";"     4.8"
"5";"T001100";"NL01  ";"2015JJ00";"    1250";"    2980";"";"     5.5"
"6";"T001100";"NL01  ";"2016JJ00";"    1300";"    2910";"";"     5.5"
"7";"T001100";"NL01  ";"2017JJ00";"    1240";"    2860";"";"     5.6"
"8";"T001100";"NL01  ";"2018JJ00";"    1270";"    2790";"";"       ."
"9";"T001100";"NL01  ";"2019JJ00";"    1180";"    2730";"";"     5.9"
"10";"T001100";"NL01  ";"2020JJ00";"    1120";"    2760";"";"     6.3"
"11";"T001100";"NL01  ";"2021JJ00";"    1250";"    2810";"    2480";"     6.3"
"12";"T001100";"NL01  ";"2022JJ00";"     980";"    2640";"    2210";"     6.4"
"13";"T001100";"LD01  ";"2010JJ00";"    2200";"    3200";"";"       ."
"14";"T001100";"LD01  ";"2011JJ00";"    1700";"    3200";"";"       ."
"15";"T001100";"LD01  ";"2012JJ00";"    1850";"    3100";"";"     0.3"
"16";"T001100";"LD01  ";"2013JJ00";"    1950";"    3050";"";"     0.3"
"17";"T001100";"LD01  ";"2014JJ00";"    1450";"    2900";"";"     0.3"
"18";"T001100";"LD01  ";"2015JJ00";"    1510";"    2850";"";"     0.5"
"19";"T001100";"LD01  ";"2016JJ00";"    1580";"    2770";"";"     0.5"
"20";"T001100";"LD01  ";"2017JJ00";"    1490";"    2700";"";"     0.5"
"21";"T001100";"LD01  ";"2018JJ00";"    1530";"    2640";"";"       ."
"22";"T001100";"LD01  ";"2019JJ00";"    1390";"    2590";"";"     0.6"
"23";"T001100";"LD01  ";"2020JJ00";"    1340";"    2650";"";"       ."
"24";"T001100";"LD01  ";"2021JJ00";"    1490";"    2700";"    2250";"       ."
"25";"T001100";"LD01  ";"2022JJ00";"    1160";"    2560";"    1950";"       ."
"26";"T001100";"LD02  ";"2010JJ00";"    1950";"    3500";"";"     5.0"
"27";"T001100";"LD02  ";"2011JJ00";"    1550";"    3450";"";"     5.0"
"28";"T001100";"LD02  ";"2012JJ00";"    1600";"    3400";"";"     5.8"
"29";"T001100";"LD02  ";"2013JJ00";"    1700";"    3350";"";"     5.5"
"30";"T001100";"LD02  ";"2014JJ00";"    1250";"    3200";"";"     5.5"
"31";"T001100";"LD02  ";"2015JJ00";"    1320";"    3140";"";"     6.1"
"32";"T001100";"LD02  ";"2016JJ00";"    1370";"    3050";"";"     6.1"
"33";"T001100";"LD02  ";"2017JJ00";"    1320";"    2980";"";"     6.1"
"34";"T001100";"LD02  ";"2018JJ00";"    1340";"    2890";"";"       ."
"35";"T001100";"LD02  ";"2019JJ00";"    1230";"    2860";"";"     6.7"
"36";"T001100";"LD02  ";"2020JJ00";"    1170";"    2910";"";"     6.9"
"37";"T001100";"LD02  ";"2021JJ00";"    1320";"    2950";"    2560";"     6.8"
"38";"T001100";"LD02  ";"2022JJ00";"    1040";"    2790";"    2250";"     6.9"
"39";"T001100";"LD03  ";"2010JJ00";"    1650";"    3100";"";"     6.0"
"40";"T001100";"LD03  ";"2011JJ00";"    1300";"    3050";"";"     6.0"
"41";"T001100";"LD03  ";"2012JJ00";"    1350";"    3000";"";"     6.5"
"42";"T001100";"LD03  ";"2013JJ00";"    1450";"    2950";"";"     6.2"
"43";"T001100";"LD03  ";"2014JJ00";"    1050";"    2850";"";"     6.0"
"44";"T001100";"LD03  ";"2015JJ00";"    1130";"    2810";"";"     6.9"
"45";"T001100";"LD03  ";"2016JJ00";"    1170";"    2760";"";"     7.0"
"46";"T001100";"LD03  ";"2017JJ00";"    1110";"    2710";"";"     7.1"
"47";"T001100";"LD03  ";"2018JJ00";"    1140";"    2650";"";"       ."
"48";"T001100";"LD03  ";"2019JJ00";"    1060";"    2580";"";"     7.7"
"49";"T001100";"LD03  ";"2020JJ00";"    1010";"    2610";"";"     8.2"
"50";"T001100";"LD03  ";"2021JJ00";"    1140";"    2680";"    2450";"     8.1"
"51";"T001100";"LD03  ";"2022JJ00";"     890";"    2510";"    2200";"     8.3"
"52";"T001100";"LDG4  ";"2010JJ00";"";"";"";""
"53";"T001100";"LDG4  ";"2011JJ00";"";"";"";""
"54";"T001100";"LDG4  ";"2012JJ00";"";"";"";""
"55";"T001100";"LDG4  ";"2013JJ00";"";"";"";""
"56";"T001100";"LDG4  ";"2014JJ00";"";"";"";""
"57";"T001100";"LDG4  ";"2015JJ00";"";"";"";""
"58";"T001100";"LDG4  ";"2016JJ00";"";"";"";""
"59";"T001100";"LDG4  ";"2017JJ00";"";"";"";""
"60";"T001100";"LDG4  ";"2018JJ00";"";"";"";""
"61";"T001100";"LDG4  ";"2019JJ00";"";"";"";""
"62";"T001100";"LDG4  ";"2020JJ00";"";"";"";""
"63";"T001100";"LDG4  ";"2021JJ00";"";"";"";""
"64";"T001100";"LDG4  ";"2022JJ00";"";"";"";""
"65";"T001100";"LD04  ";"2010JJ00";"    2000";"    3600";"";"       ."
"66";"T001100";"LD04  ";"2011JJ00";"    1550";"    3550";"";"       ."
"67";"T001100";"LD04  ";"2012JJ00";"    1650";"    3500";"";"     3.9"
"68";"T001100";"LD04  ";"2013JJ00";"    1750";"    3450";"";"     3.7"
"69";"T001100";"LD04  ";"2014JJ00";"    1300";"    3300";"";"     3.6"
"70";"T001100";"LD04  ";"2015JJ00";"    1370";"    3250";"";"     4.1"
"71";"T001100";"LD04  ";"2016JJ00";"    1420";"    3190";"";"     4.1"
"72";"T001100";"LD04  ";"2017JJ00";"    1360";"    3150";"";"     4.0"
"73";"T001100";"LD04  ";"2018JJ00";"    1380";"    3080";"";"       ."
"74";"T001100";"LD04  ";"2019JJ00";"    1280";"    2980";"";"     4.2"
"75";"T001100";"LD04  ";"2020JJ00";"    1210";"    2980";"";"     4.4"
"76";"T001100";"LD04  ";"2021JJ00";"    1350";"    3020";"    2600";"     4.3"
"77";"T001100";"LD04  ";"2022JJ00";"    1060";"    2850";"    2290";"     4.2"
"78";"T001100";"PV20  ";"2010JJ00";"    2150";"    3100";"";"       ."
"79";"T001100";"PV20  ";"2011JJ00";"    1700";"    3100";"";"       ."
"80";"T001100";"PV20  ";"2012JJ00";"    1850";"    3050";"";"     0.4"
"81";"T001100";"PV20  ";"2013JJ00";"    1900";"    3000";"";"     0.4"
"82";"T001100";"PV20  ";"2014JJ00";"    1400";"    2850";"";"     0.4"
"83";"T001100";"PV20  ";"2015JJ00";"    1500";"    2760";"";"     0.6"
"84";"T001100";"PV20  ";"2016JJ00";"    1570";"    2690";"";"     0.6"
"85";"T001100";"PV20  ";"2017JJ00";"    1480";"    2640";"";"     0.6"
"86";"T001100";"PV20  ";"2018JJ00";"    1510";"    2580";"";"       ."
"87";"T001100";"PV20  ";"2019JJ00";"    1350";"    2450";"";"     0.9"
"88";"T001100";"PV20  ";"2020JJ00";"    1320";"    2530";"";"       ."
"89";"T001100";"PV20  ";"2021JJ00";"    1460";"    2570";"    2170";"       ."
"90";"T001100";"PV20  ";"2022JJ00";"    1140";"    2440";"    1910";"       ."
"91";"T001100";"PV21  ";"2010JJ00";"    2150";"    3050";"";"       ."
"92";"T001100";"PV21  ";"2011JJ00";"    1650";"    3050";"";"       ."
"93";"T001100";"PV21  ";"2012JJ00";"    1750";"    3000";"";"     0.5"
"94";"T001100";"PV21  ";"2013JJ00";"    1850";"    2900";"";"     0.5"
"95";"T001100";"PV21  ";"2014JJ00";"    1350";"    2800";"";"     0.5"
"96";"T001100";"PV21  ";"2015JJ00";"    1450";"    2730";"";"     0.7"
"97";"T001100";"PV21  ";"2016JJ00";"    1520";"    2640";"";"     0.7"
"98";"T001100";"PV21  ";"2017JJ00";"    1430";"    2570";"";"     0.7"
"99";"T001100";"PV21  ";"2018JJ00";"    1470";"    2490";"";"       ."
"100";"T001100";"PV21  ";"2019JJ00";"    1350";"    2540";"";"     0.7"
"101";"T001100";"PV21  ";"2020JJ00";"    1310";"    2630";"";"       ."
"102";"T001100";"PV21  ";"2021JJ00";"    1460";"    2680";"    2240";"       ."
"103";"T001100";"PV21  ";"2022JJ00";"    1140";"    2520";"    1930";"       ."
"104";"T001100";"PV22  ";"2010JJ00";"    2350";"    3500";"";"       ."
"105";"T001100";"PV22  ";"2011JJ00";"    1850";"    3450";"";"       ."
"106";"T001100";"PV22  ";"2012JJ00";"    1950";"    3400";"";"       ."
"107";"T001100";"PV22  ";"2013JJ00";"    2050";"    3350";"";"       ."
"108";"T001100";"PV22  ";"2014JJ00";"    1500";"    3200";"";"       ."
"109";"T001100";"PV22  ";"2015JJ00";"    1600";"    3110";"";"     0.1"
"110";"T001100";"PV22  ";"2016JJ00";"    1680";"    3050";"";"     0.2"
"111";"T001100";"PV22  ";"2017JJ00";"    1590";"    2980";"";"     0.2"
"112";"T001100";"PV22  ";"2018JJ00";"    1610";"    2910";"";"       ."
"113";"T001100";"PV22  ";"2019JJ00";"    1480";"    2810";"";"     0.2"
"114";"T001100";"PV22  ";"2020JJ00";"    1400";"    2840";"";"       ."
"115";"T001100";"PV22  ";"2021JJ00";"    1560";"    2890";"    2360";"       ."
"116";"T001100";"PV22  ";"2022JJ00";"    1230";"    2750";"    2050";"       ."
"117";"T001100";"PV23  ";"2010JJ00";"    2100";"    3450";"";"       ."
"118";"T001100";"PV23  ";"2011JJ00";"    1650";"    3450";"";"       ."
"119";"T001100";"PV23  ";"2012JJ00";"    1750";"    3400";"";"     2.3"
"120";"T001100";"PV23  ";"2013JJ00";"    1850";"    3350";"";"     2.0"
"121";"T001100";"PV23  ";"2014JJ00";"    1300";"    3250";"";"     2.0"
"122";"T001100";"PV23  ";"2015JJ00";"    1390";"    3130";"";"     2.8"
"123";"T001100";"PV23  ";"2016JJ00";"    1430";"    3070";"";"     3.0"
"124";"T001100";"PV23  ";"2017JJ00";"    1390";"    3010";"";"     3.1"
"125";"T001100";"PV23  ";"2018JJ00";"    1410";"    2940";"";"       ."
"126";"T001100";"PV23  ";"2019JJ00";"    1280";"    2850";"";"     3.3"
"127";"T001100";"PV23  ";"2020JJ00";"    1220";"    2870";"";"     3.3"
"128";"T001100";"PV23  ";"2021JJ00";"    1400";"    2930";"    2540";"     3.2"
"129";"T001100";"PV23  ";"2022JJ00";"    1100";"    2770";"    2220";"     3.2"
"130";"T001100";"PV24  ";"2010JJ00";"    1150";"    3650";"";"    31.0"
"131";"T001100";"PV24  ";"2011JJ00";"     950";"    3600";"";"    32.0"
"132";"T001100";"PV24  ";"2012JJ00";"     950";"    3500";"";"    32.9"
"133";"T001100";"PV24  ";"2013JJ00";"    1000";"    3450";"";"    32.8"
"134";"T001100";"PV24  ";"2014JJ00";"     750";"    3350";"";"    32.5"
"135";"T001100";"PV24  ";"2015JJ00";"     760";"    3270";"";"    33.1"
"136";"T001100";"PV24  ";"2016JJ00";"     850";"    3140";"";"    33.0"
"137";"T001100";"PV24  ";"2017JJ00";"     810";"    3050";"";"    32.7"
"138";"T001100";"PV24  ";"2018JJ00";"     830";"    2930";"";"       ."
"139";"T001100";"PV24  ";"2019JJ00";"     770";"    2950";"";"    33.0"
"140";"T001100";"PV24  ";"2020JJ00";"     760";"    3010";"";"    33.6"
"141";"T001100";"PV24  ";"2021JJ00";"     850";"    3040";"    2660";"    33.3"
"142";"T001100";"PV24  ";"2022JJ00";"     670";"    2880";"    2340";"    32.7"
"143";"T001100";"PV25  ";"2010JJ00";"    2000";"    3450";"";"       ."
"144";"T001100";"PV25  ";"2011JJ00";"    1600";"    3450";"";"       ."
"145";"T001100";"PV25  ";"2012JJ00";"    1650";"    3400";"";"     2.6"
"146";"T001100";"PV25  ";"2013JJ00";"    1750";"    3300";"";"     2.4"
"147";"T001100";"PV25  ";"2014JJ00";"    1300";"    3200";"";"     2.5"
"148";"T001100";"PV25  ";"2015JJ00";"    1390";"    3130";"";"     2.9"
"149";"T001100";"PV25  ";"2016JJ00";"    1440";"    3030";"";"     2.9"
"150";"T001100";"PV25  ";"2017JJ00";"    1390";"    2950";"";"     2.8"
"151";"T001100";"PV25  ";"2018JJ00";"    1400";"    2850";"";"       ."
"152";"T001100";"PV25  ";"2019JJ00";"    1290";"    2850";"";"     3.7"
"153";"T001100";"PV25  ";"2020JJ00";"    1220";"    2910";"";"     3.8"
"154";"T001100";"PV25  ";"2021JJ00";"    1370";"    2950";"    2560";"     3.9"
"155";"T001100";"PV25  ";"2022JJ00";"    1080";"    2790";"    2260";"     4.1"
"156";"T001100";"PV26  ";"2010JJ00";"    1750";"    3350";"";"    11.0"
"157";"T001100";"PV26  ";"2011JJ00";"    1350";"    3350";"";"    10.0"
"158";"T001100";"PV26  ";"2012JJ00";"    1350";"    3250";"";"    12.5"
"159";"T001100";"PV26  ";"2013JJ00";"    1450";"    3200";"";"    11.5"
"160";"T001100";"PV26  ";"2014JJ00";"    1050";"    3100";"";"    11.2"
"161";"T001100";"PV26  ";"2015JJ00";"    1150";"    3020";"";"    11.9"
"162";"T001100";"PV26  ";"2016JJ00";"    1200";"    2980";"";"    12.0"
"163";"T001100";"PV26  ";"2017JJ00";"    1140";"    2930";"";"    12.0"
"164";"T001100";"PV26  ";"2018JJ00";"    1160";"    2850";"";"       ."
"165";"T001100";"PV26  ";"2019JJ00";"    1070";"    2750";"";"    12.4"
"166";"T001100";"PV26  ";"2020JJ00";"    1020";"    2760";"";"    12.6"
"167";"T001100";"PV26  ";"2021JJ00";"    1150";"    2830";"    2540";"    12.4"
"168";"T001100";"PV26  ";"2022JJ00";"     890";"    2650";"    2250";"    12.4"
"169";"T001100";"PV27  ";"2010JJ00";"    1650";"    3000";"";"       ."
"170";"T001100";"PV27  ";"2011JJ00";"    1300";"    3000";"";"       ."
"171";"T001100";"PV27  ";"2012JJ00";"    1350";"    2950";"";"     5.1"
"172";"T001100";"PV27  ";"2013JJ00";"    1450";"    2900";"";"     4.9"
"173";"T001100";"PV27  ";"2014JJ00";"    1100";"    2800";"";"     4.8"
"174";"T001100";"PV27  ";"2015JJ00";"    1140";"    2740";"";"     6.0"
"175";"T001100";"PV27  ";"2016JJ00";"    1190";"    2680";"";"     6.2"
"176";"T001100";"PV27  ";"2017JJ00";"    1130";"    2620";"";"     6.5"
"177";"T001100";"PV27  ";"2018JJ00";"    1160";"    2550";"";"       ."
"178";"T001100";"PV27  ";"2019JJ00";"    1070";"    2520";"";"     7.5"
"179";"T001100";"PV27  ";"2020JJ00";"    1020";"    2550";"";"     8.1"
"180";"T001100";"PV27  ";"2021JJ00";"    1150";"    2600";"    2390";"     8.1"
"181";"T001100";"PV27  ";"2022JJ00";"     900";"    2430";"    2160";"     8.4"
"182";"T001100";"PV28  ";"2010JJ00";"    1600";"    3100";"";"     6.0"
"183";"T001100";"PV28  ";"2011JJ00";"    1250";"    3050";"";"     6.0"
"184";"T001100";"PV28  ";"2012JJ00";"    1300";"    3000";"";"     6.2"
"185";"T001100";"PV28  ";"2013JJ00";"    1400";"    2950";"";"     6.1"
"186";"T001100";"PV28  ";"2014JJ00";"    1050";"    2850";"";"     5.9"
"187";"T001100";"PV28  ";"2015JJ00";"    1090";"    2810";"";"     6.6"
"188";"T001100";"PV28  ";"2016JJ00";"    1120";"    2770";"";"     6.7"
"189";"T001100";"PV28  ";"2017JJ00";"    1080";"    2730";"";"     6.7"
"190";"T001100";"PV28  ";"2018JJ00";"    1100";"    2670";"";"       ."
"191";"T001100";"PV28  ";"2019JJ00";"    1020";"    2590";"";"     7.1"
"192";"T001100";"PV28  ";"2020JJ00";"     980";"    2620";"";"     7.6"
"193";"T001100";"PV28  ";"2021JJ00";"    1100";"    2680";"    2480";"     7.6"
"194";"T001100";"PV28  ";"2022JJ00";"     850";"    2520";"    2240";"     7.7"
"195";"T001100";"PV29  ";"2010JJ00";"    1850";"    3100";"";"       ."
"196";"T001100";"PV29  ";"2011JJ00";"    1450";"    3100";"";"       ."
"197";"T001100";"PV29  ";"2012JJ00";"    1550";"    3000";"";"     0.5"
"198";"T001100";"PV29  ";"2013JJ00";"    1650";"    3000";"";"     0.5"
"199";"T001100";"PV29  ";"2014JJ00";"    1250";"    2850";"";"     0.5"
"200";"T001100";"PV29  ";"2015JJ00";"    1330";"    2800";"";"     0.5"
"201";"T001100";"PV29  ";"2016JJ00";"    1360";"    2740";"";"     0.5"
"202";"T001100";"PV29  ";"2017JJ00";"    1280";"    2670";"";"     0.5"
"203";"T001100";"PV29  ";"2018JJ00";"    1310";"    2600";"";"       ."
"204";"T001100";"PV29  ";"2019JJ00";"    1220";"    2520";"";"     0.4"
"205";"T001100";"PV29  ";"2020JJ00";"    1170";"    2540";"";"       ."
"206";"T001100";"PV29  ";"2021JJ00";"    1330";"    2710";"    2290";"       ."
"207";"T001100";"PV29  ";"2022JJ00";"    1050";"    2570";"    1990";"       ."
"208";"T001100";"PV30  ";"2010JJ00";"    1950";"    3600";"";"       ."
"209";"T001100";"PV30  ";"2011JJ00";"    1500";"    3550";"";"       ."
"210";"T001100";"PV30  ";"2012JJ00";"    1600";"    3550";"";"     5.3"
"211";"T001100";"PV30  ";"2013JJ00";"    1700";"    3450";"";"     5.0"
"212";"T001100";"PV30  ";"2014JJ00";"    1250";"    3350";"";"     4.8"
"213";"T001100";"PV30  ";"2015JJ00";"    1340";"    3290";"";"     5.5"
"214";"T001100";"PV30  ";"2016JJ00";"    1380";"    3230";"";"     5.5"
"215";"T001100";"PV30  ";"2017JJ00";"    1320";"    3190";"";"     5.5"
"216";"T001100";"PV30  ";"2018JJ00";"    1340";"    3120";"";"       ."
"217";"T001100";"PV30  ";"2019JJ00";"    1250";"    3010";"";"     5.7"
"218";"T001100";"PV30  ";"2020JJ00";"    1180";"    3020";"";"     5.9"
"219";"T001100";"PV30  ";"2021JJ00";"    1320";"    3060";"    2660";"     5.8"
"220";"T001100";"PV30  ";"2022JJ00";"    1030";"    2870";"    2340";"     5.6"
"221";"T001100";"PV31  ";"2010JJ00";"    2150";"    3550";"";"       ."
"222";"T001100";"PV31  ";"2011JJ00";"    1650";"    3450";"";"       ."
"223";"T001100";"PV31  ";"2012JJ00";"    1750";"    3450";"";"     1.0"
"224";"T001100";"PV31  ";"2013JJ00";"    1850";"    3400";"";"     0.9"
"225";"T001100";"PV31  ";"2014JJ00";"    1350";"    3250";"";"     0.9"
"226";"T001100";"PV31  ";"2015JJ00";"    1450";"    3170";"";"     1.0"
"227";"T001100";"PV31  ";"2016JJ00";"    1510";"    3110";"";"     1.0"
"228";"T001100";"PV31  ";"2017JJ00";"    1450";"    3080";"";"     1.0"
"229";"T001100";"PV31  ";"2018JJ00";"    1450";"    3000";"";"       ."
"230";"T001100";"PV31  ";"2019JJ00";"    1350";"    2900";"";"     1.1"
"231";"T001100";"PV31  ";"2020JJ00";"    1270";"    2910";"";"       ."
"232";"T001100";"PV31  ";"2021JJ00";"    1430";"    2940";"    2460";"       ."
"233";"T001100";"PV31  ";"2022JJ00";"    1120";"    2800";"    2180";"       ."
"234";"T001100";"GM1680";"2010JJ00";"    2700";"    3700";"";"       ."
"235";"T001100";"GM1680";"2011JJ00";"    2100";"    3700";"";"       ."
"236";"T001100";"GM1680";"2012JJ00";"    2300";"    3650";"";"       ."
"237";"T001100";"GM1680";"2013JJ00";"    2400";"    3600";"";"       ."
"238";"T001100";"GM1680";"2014JJ00";"    1800";"    3450";"";"       ."
"239";"T001100";"GM1680";"2015JJ00";"    1880";"    3350";"";"       ."
"240";"T001100";"GM1680";"2016JJ00";"    2010";"    3290";"";"       ."
"241";"T001100";"GM1680";"2017JJ00";"    1880";"    3220";"";"       ."
"242";"T001100";"GM1680";"2018JJ00";"    1900";"    3140";"";"       ."
"243";"T001100";"GM1680";"2019JJ00";"    1740";"    3030";"";"       ."
"244";"T001100";"GM1680";"2020JJ00";"    1660";"    3090";"";"       ."
"245";"T001100";"GM1680";"2021JJ00";"    1850";"    3150";"    2500";"       ."
"246";"T001100";"GM1680";"2022JJ00";"    1440";"    3000";"    2120";"       ."
"247";"T001100";"GM0738";"2010JJ00";"    2450";"    4200";"";"       ."
"248";"T001100";"GM0738";"2011JJ00";"    1850";"    4100";"";"       ."
"249";"T001100";"GM0738";"2012JJ00";"    1950";"    3950";"";"       ."
"250";"T001100";"GM0738";"2013JJ00";"    2050";"    3900";"";"       ."
"251";"T001100";"GM0738";"2014JJ00";"    1550";"    3750";"";"       ."
"252";"T001100";"GM0738";"2015JJ00";"    1650";"    3730";"";"       ."
"253";"T001100";"GM0738";"2016JJ00";"    1730";"    3690";"";"       ."
"254";"T001100";"GM0738";"2017JJ00";"    1640";"    3620";"";"       ."
"255";"T001100";"GM0738";"2018JJ00";"    1680";"    3630";"";"       ."
"256";"T001100";"GM0738";"2019JJ00";"";"";"";""
"257";"T001100";"GM0738";"2020JJ00";"";"";"";""
"258";"T001100";"GM0738";"2021JJ00";"";"";"";""
"259";"T001100";"GM0738";"2022JJ00";"";"";"";""
"260";"T001100";"GM0358";"2010JJ00";"    2000";"    3700";"";"       ."
"261";"T001100";"GM0358";"2011JJ00";"    1550";"    3750";"";"       ."
"262";"T001100";"GM0358";"2012JJ00";"    1650";"    3650";"";"       ."
"263";"T001100";"GM0358";"2013JJ00";"    1750";"    3550";"";"       ."
"264";"T001100";"GM0358";"2014JJ00";"    1350";"    3450";"";"       ."
"265";"T001100";"GM0358";"2015JJ00";"    1410";"    3380";"";"       ."
"266";"T001100";"GM0358";"2016JJ00";"    1470";"    3330";"";"       ."
"267";"T001100";"GM0358";"2017JJ00";"    1400";"    3230";"";"       ."
"268";"T001100";"GM0358";"2018JJ00";"    1410";"    3130";"";"       ."
"269";"T001100";"GM0358";"2019JJ00";"    1320";"    3080";"";"       ."
"270";"T001100";"GM0358";"2020JJ00";"    1230";"    3080";"";"       ."
"271";"T001100";"GM0358";"2021JJ00";"    1390";"    3150";"    2790";"       ."
"272";"T001100";"GM0358";"2022JJ00";"    1100";"    2960";"    2480";"       ."
"273";"T001100";"GM0197";"2010JJ00";"    2150";"    3500";"";"       ."
"274";"T001100";"GM0197";"2011JJ00";"    1700";"    3550";"";"       ."
"275";"T001100";"GM0197";"2012JJ00";"    1750";"    3450";"";"       ."
"276";"T001100";"GM0197";"2013JJ00";"    1850";"    3350";"";"       ."
"277";"T001100";"GM0197";"2014JJ00";"    1350";"    3250";"";"       ."
"278";"T001100";"GM0197";"2015JJ00";"    1470";"    3140";"";"       ."
"279";"T001100";"GM0197";"2016JJ00";"    1520";"    3060";"";"       ."
"280";"T001100";"GM0197";"2017JJ00";"    1500";"    2950";"";"       ."
"281";"T001100";"GM0197";"2018JJ00";"    1480";"    2810";"";"       ."
"282";"T001100";"GM0197";"2019JJ00";"    1380";"    2900";"";"       ."
"283";"T001100";"GM0197";"2020JJ00";"    1310";"    2960";"";"       ."
"284";"T001100";"GM0197";"2021JJ00";"    1480";"    3010";"    2530";"       ."
"285";"T001100";"GM0197";"2022JJ00";"    1180";"    2830";"    2180";"       ."
"286";"T001100";"GM0305";"2010JJ00";"    2500";"    3950";"";"       ."
"287";"T001100";"GM0305";"2011JJ00";"";"";"";""
"288";"T001100";"GM0305";"2012JJ00";"";"";"";""
"289";"T001100";"GM0305";"2013JJ00";"";"";"";""
"290";"T001100";"GM0305";"2014JJ00";"";"";"";""
"291";"T001100";"GM0305";"2015JJ00";"";"";"";""
"292";"T001100";"GM0305";"2016JJ00";"";"";"";""
"293";"T001100";"GM0305";"2017JJ00";"";"";"";""
"294";"T001100";"GM0305";"2018JJ00";"";"";"";""
"295";"T001100";"GM0305";"2019JJ00";"";"";"";""
"296";"T001100";"GM0305";"2020JJ00";"";"";"";""
"297";"T001100";"GM0305";"2021JJ00";"";"";"";""
"298";"T001100";"GM0305";"2022JJ00";"";"";"";""
"299";"T001100";"GM0059";"2010JJ00";"    2350";"    3150";"";"       ."
"300";"T001100";"GM0059";"2011JJ00";"    1850";"    3200";"";"       ."
"301";"T001100";"GM0059";"2012JJ00";"    1950";"    3150";"";"       ."
"302";"T001100";"GM0059";"2013JJ00";"    2050";"    3000";"";"       ."
"303";"T001100";"GM0059";"2014JJ00";"    1500";"    2900";"";"       ."
"304";"T001100";"GM0059";"2015JJ00";"    1620";"    2830";"";"       ."
"305";"T001100";"GM0059";"2016JJ00";"    1690";"    2760";"";"       ."
"306";"T001100";"GM0059";"2017JJ00";"    1590";"    2700";"";"       ."
"307";"T001100";"GM0059";"2018JJ00";"    1630";"    2660";"";"       ."
"308";"T001100";"GM0059";"2019JJ00";"    1500";"    2690";"";"       ."
"309";"T001100";"GM0059";"2020JJ00";"    1460";"    2770";"";"       ."
"310";"T001100";"GM0059";"2021JJ00";"    1630";"    2840";"    2430";"       ."
"311";"T001100";"GM0059";"2022JJ00";"    1270";"    2690";"    2120";"       ."
"312";"T001100";"GM0482";"2010JJ00";"    1750";"    3200";"";"       ."
"313";"T001100";"GM0482";"2011JJ00";"    1350";"    3150";"";"       ."
"314";"T001100";"GM0482";"2012JJ00";"    1350";"    3100";"";"       ."
"315";"T001100";"GM0482";"2013JJ00";"    1400";"    3050";"";"       ."
"316";"T001100";"GM0482";"2014JJ00";"    1100";"    3000";"";"       ."
"317";"T001100";"GM0482";"2015JJ00";"    1180";"    2970";"";"       ."
"318";"T001100";"GM0482";"2016JJ00";"    1200";"    2940";"";"       ."
"319";"T001100";"GM0482";"2017JJ00";"    1150";"    2880";"";"       ."
"320";"T001100";"GM0482";"2018JJ00";"    1140";"    2830";"";"       ."
"321";"T001100";"GM0482";"2019JJ00";"    1080";"    2740";"";"       ."
"322";"T001100";"GM0482";"2020JJ00";"    1030";"    2730";"";"       ."
"323";"T001100";"GM0482";"2021JJ00";"    1140";"    2810";"    2610";"       ."
"324";"T001100";"GM0482";"2022JJ00";"     890";"    2670";"    2360";"       ."
"325";"T001100";"GM0613";"2010JJ00";"    1850";"    3650";"";"       ."
"326";"T001100";"GM0613";"2011JJ00";"    1400";"    3600";"";"       ."
"327";"T001100";"GM0613";"2012JJ00";"    1450";"    3450";"";"       ."
"328";"T001100";"GM0613";"2013JJ00";"    1550";"    3400";"";"       ."
"329";"T001100";"GM0613";"2014JJ00";"    1150";"    3300";"";"       ."
"330";"T001100";"GM0613";"2015JJ00";"    1250";"    3250";"";"       ."
"331";"T001100";"GM0613";"2016JJ00";"    1300";"    3180";"";"       ."
"332";"T001100";"GM0613";"2017JJ00";"    1280";"    3140";"";"       ."
"333";"T001100";"GM0613";"2018JJ00";"    1260";"    3110";"";"       ."
"334";"T001100";"GM0613";"2019JJ00";"    1180";"    3010";"";"       ."
"335";"T001100";"GM0613";"2020JJ00";"    1130";"    3090";"";"       ."
"336";"T001100";"GM0613";"2021JJ00";"    1280";"    3150";"    2860";"       ."
"337";"T001100";"GM0613";"2022JJ00";"     990";"    2950";"    2480";"       ."
"338";"T001100";"GM0361";"2010JJ00";"    1650";"    3000";"";"       ."
"339";"T001100";"GM0361";"2011JJ00";"    1300";"    2950";"";"       ."
"340";"T001100";"GM0361";"2012JJ00";"    1350";"    2850";"";"       ."
"341";"T001100";"GM0361";"2013JJ00";"    1450";"    2800";"";"       ."
"342";"T001100";"GM0361";"2014JJ00";"    1100";"    2700";"";"       ."
"343";"T001100";"GM0361";"2015JJ00";"    1180";"    2720";"";"       ."
"344";"T001100";"GM0361";"2016JJ00";"    1230";"    2650";"";"       ."
